"Series Key",SEDS.RETCB.GA.A,"Series Key",SEDS.PMTCB.GA.A,"Series Key",SEDS.NUETB.GA.A,"Series Key",SEDS.NNTCB.GA.A,"Series Key",SEDS.CLTCB.GA.A,"Series Key",SEDS.TETCB.GA.A,"Series Key",SEDS.ELISB.GA.A
"Series Name","Renewable energy total consumption, Georgia","Series Name","All petroleum products total consumption, excluding biofuels, Georgia","Series Name","Nuclear energy consumed for electricity generation, total, Georgia","Series Name","Natural gas total consumption (excluding supplemental gaseous fuels), Georgia","Series Name","Coal total consumption, Georgia","Series Name","Total energy consumption, Georgia","Series Name","Net interstate flow of electricity and associated losses (negative indicates flow out of state), Georgia"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,313981,2019,1007518,2019,350759,2019,787386,2019,273109,2019,2963080,2019,230327
2018,303411,2018,1009846,2018,359262,2018,759205,2018,340152,2018,3010509,2018,238634
2017,293453,2017,1038950,2017,352560,2017,709671,2017,344273,2017,2933159,2017,194252
2016,298083,2016,983632,2016,360633,2016,727336,2016,399279,2016,2959871,2016,190908
2015,300816,2015,1008952,2015,353883,2015,712580,2015,394665,2015,2985813,2015,214917
2014,297078,2014,960075,2014,340652,2014,664808,2014,482657,2014,2985778,2014,240508
2013,283975,2013,986553,2013,343801,2013,634635,2013,426184,2013,2914969,2013,239821
2012,238008,2012,965877,2012,355674,2012,624338,2012,435546,2012,2854691,2012,235247
2011,246850,2011,1026457,2011,338052,2011,531596,2011,634756,2011,3042171,2011,264459
2010,247295,2010,1062935,2010,350268,2010,540943,2010,767906,2010,3157029,2010,187681
2009,220566,2009,993679,2009,331368,2009,475240,2009,723449,2009,2913908,2009,169606
2008,198358,2008,946224,2008,331235,2008,436093,2008,885849,2008,2946558,2008,148798
2007,205849,2007,1052558,2007,341364,2007,455220,2007,934773,2007,3078378,2007,88613
2006,210818,2006,1089023,2006,333981,2006,433920,2006,892732,2006,3087831,2006,127357
2005,218423,2005,1120350,2005,329092,2005,427825,2005,901010,2005,3110770,2005,114072
2004,226761,2004,1079645,2004,351921,2004,406436,2004,834991,2004,3097207,2004,197454
2003,221675,2003,1033435,2003,346601,2003,390760,2003,819031,2003,2956845,2003,145344
2002,283715,2002,1006589,2002,324827,2002,393127,2002,807121,2002,2936048,2002,120669
2001,192068,2001,1011020,2001,351739,2001,362643,2001,772021,2001,2818753,2001,129262
2000,222186,2000,1013420,2000,338660,2000,421262,2000,819530,2000,2920928,2000,105870
1999,231115,1999,1013518,1999,328946,1999,347107,1999,782617,1999,2803980,1999,100676
1998,256573,1998,961594,1998,329212,1998,378549,1998,767394,1998,2783049,1998,89727
1997,262479,1997,938363,1997,319170,1997,381712,1997,767969,1997,2744916,1997,75223
1996,256860,1996,977292,1996,314302,1996,393417,1996,723082,1996,2767321,1996,102368
1995,249128,1995,924610,1995,322151,1995,383385,1995,723817,1995,2607462,1995,4370
1994,240939,1994,880083,1994,302346,1994,351897,1994,685757,1994,2423951,1994,-37070
1993,240389,1993,872312,1993,286059,1993,359989,1993,655174,1993,2403877,1993,-10047
1992,234696,1992,795239,1992,293149,1992,351369,1992,613139,1992,2250675,1992,-36918
1991,227699,1991,780556,1991,272752,1991,331599,1991,643363,1991,2205008,1991,-50960
1990,236225,1990,815477,1990,262401,1990,319199,1990,714128,1990,2216211,1990,-131218
1989,218604,1989,797088,1989,264167,1989,325560,1989,666790,1989,2219567,1989,-52642
1988,138748,1988,825122,1988,160615,1988,330859,1988,698991,1988,2138263,1988,-16072
1987,146038,1987,791671,1987,159333,1987,311055,1987,710572,1987,2049053,1987,-69616
1986,141713,1986,753485,1986,76574,1986,286490,1986,692512,1986,1953662,1986,2889
1985,146207,1985,771709,1985,107602,1985,289572,1985,725678,1985,1931023,1985,-109745
1984,159451,1984,728111,1984,59331,1984,315287,1984,681531,1984,1875179,1984,-68531
1983,151110,1983,685558,1983,84771,1983,303129,1983,584816,1983,1749228,1983,-60156
1982,143871,1982,642879,1982,73144,1982,303335,1982,535439,1982,1679709,1982,-18959
1981,122747,1981,652903,1981,79799,1981,325103,1981,552108,1981,1694324,1981,-38335
1980,144038,1980,692211,1980,92015,1980,325263,1980,521518,1980,1717236,1980,-57809
1979,149144,1979,742459,1979,55429,1979,324478,1979,469598,1979,1729590,1979,-11518
1978,138170,1978,754682,1978,46798,1978,286035,1978,434380,1978,1683045,1978,22980
1977,136122,1977,757522,1977,39985,1977,271811,1977,415733,1977,1628701,1977,7528
1976,135157,1976,727308,1976,45666,1976,268375,1976,347552,1976,1552529,1976,28471
1975,123427,1975,655514,1975,34063,1975,335376,1975,311988,1975,1489772,1975,29404
1974,121581,1974,694383,1974,487,1974,339589,1974,283947,1974,1495568,1974,55582
1973,125605,1973,719582,1973,0,1973,358532,1973,271501,1973,1555110,1973,79891
1972,114745,1972,653498,1972,0,1972,341408,1972,261592,1972,1435584,1972,64341
1971,109007,1971,596435,1971,0,1971,353199,1971,219607,1971,1348865,1971,70617
1970,98222,1970,553586,1970,0,1970,342834,1970,193155,1970,1280820,1970,93023
1969,105812,1969,520566,1969,0,1969,324940,1969,202716,1969,1228189,1969,74156
1968,106371,1968,488707,1968,0,1968,295289,1968,194909,1968,1154038,1968,68763
1967,109475,1967,454111,1967,0,1967,265271,1967,165942,1967,1062811,1967,68012
1966,109456,1966,413509,1966,0,1966,243089,1966,177237,1966,997589,1966,54298
1965,108022,1965,390399,1965,0,1965,219774,1965,152600,1965,917174,1965,46379
1964,118296,1964,359649,1964,0,1964,215579,1964,123813,1964,857040,1964,39703
1963,103171,1963,343066,1963,0,1963,195667,1963,115509,1963,802968,1963,45556
1962,96771,1962,327690,1962,0,1962,199380,1962,87199,1962,764902,1962,53862
1961,94590,1961,298313,1961,0,1961,186255,1961,90769,1961,705734,1961,35807
1960,96016,1960,301423,1960,0,1960,188460,1960,88950,1960,701005,1960,26156
